"review_category","query","preset","facets","expected_rfcs","confidence","note"
"UNCERTAIN: expected RFC not found & no title match","permessage-deflate","red","","7692","high",""
"UNCERTAIN: expected RFC not found & no title match","ws protocol rfc","red","","6455","medium",""
"UNCERTAIN: expected RFC not found & no title match","418 i'm a teapot rfc","red","","2324,7168","medium",""
"UNCERTAIN: expected RFC not found & no title match","teapot http status code","red","","7168","medium",""
"UNCERTAIN: expected RFC not found & no title match","pigeon packet protocol rfc","red","","1149","medium",""
"UNCERTAIN: expected RFC not found & no title match","april fools rfc","red","","2324","low",""
"UNCERTAIN: expected RFC not found & no title match","funny rfc","red","","2324","low",""
"UNCERTAIN: expected RFC not found & no title match","how do i cite an rfc","red","","7322","low",""
"UNCERTAIN: expected RFC not found & no title match","what is a draft standard","red","","2026","high",""
"UNCERTAIN: expected RFC not found & no title match","how is an rfc published","red","","7841","medium",""
"UNCERTAIN: expected RFC not found & no title match","email spam prevention","red","","7489","medium",""
"UNCERTAIN: expected RFC not found & no title match","secure web browsing","red","","8446","medium",""
"UNCERTAIN: expected RFC not found & no title match","how does https work","red","","8446,9110","medium",""
"UNCERTAIN: expected RFC not found & no title match","quantum safe cryptography rfc","red","","9370","low",""
"UNCERTAIN: expected RFC not found & no title match","perfection has been reached not when there is nothing left to add","red-content","","1925","high",""
"UNCERTAIN: expected RFC not found & no title match","packet has evil intent","red-content","","3514","medium",""
"UNCERTAIN: expected RFC not found & no title match","pigeon carrier rfc number","red","","1149","high",""
"UNCERTAIN: expected RFC not found & no title match","rfc 2324","red","","2324","high",""
"UNCERTAIN: expected RFC not found & no title match","rfc 1149","red","","1149","high",""
"UNCERTAIN: expected RFC not found & no title match","rfc 1925","red","","1925","high",""
"UNCERTAIN: expected RFC not found & no title match","april 1 rfc jokes list","red","","2324","low",""
"UNCERTAIN: expected RFC not found & no title match","std bcp difference","red","subseries.acronym=bcp","2026","medium",""
"UNCERTAIN: expected RFC not found & no title match","best current practice status meaning","red","status.name=Best Current Practice","2026","medium",""
"UNCERTAIN: expected RFC not found & no title match","experimental rfc status meaning","red","status.name=Experimental","2026","medium",""
